Name,Link,Rating,Price,Discount,Pack,Ingredients,Discription
"Root Restore Hair Oil for hair fall reduction, 100ml",https://mamaearth.in/product/buy-natural-hair-oil,4.8,399,0%,100ml,"['bhringraj oil', 'rosemary oil', 'vitamin e']","Root Restore Hair Oil for hair fall reduction, 100ml"
"Happy Heads Shampoo for healthy & stronger hair, 200ml",https://mamaearth.in/product/buy-organic-shampoo-online,4.8,349,0%,200ml,"['biotin', 'horse chestnut', 'amla extract', 'bhringraj extract']","Happy Heads Shampoo for healthy & stronger hair, 200ml"
Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin - 25 g,https://mamaearth.in/product/niacinamide-bamboo-sheet-mask-with-niacinamide-ginger-extract-for-clear-glowing-skin-25-g,5,149,0%,25g,"['niacinamide', 'ginger extract', 'tea tree oil', 'citric acid']","Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin - 25 gSheet masks are a super satisfying, convenient, and fun way to give your skin some TLC at home. Your skin gets an instant boost of suppleness because each sheet mask is packed with nine days of serum hydration. Formulated with the power of Niacinamide and Ginger, the sheet mask will also help your skin tone and texture, and it’s proven to reduce acne marks & scars.Mamaearth sheet masks are extremely gentle and safe for you because they are made from bamboo, unlike other sheet masks that are made of polyester - a first for India. They’re biodegradable, making them good for you and good for the environment! The sheet mask is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Charcoal Facial Regimen Kit,https://mamaearth.in/product/charcoal-facial-regimen-kit,5,899,25%,null,"['activated charcoal', 'coffee', 'walnut', 'tea tree']","Charcoal Facial Regimen KitAre the day’s toils clogging your skin and making it uncomfortable? Fret not, Mamaearth Charcoal Facial Regimen Kit is nature’s way of bidding goodbye to dull, tired & fatigued skin. The kit is travel-friendly, easy to use, and reliable for fighting acne, blemishes, and even detoxifies your skin. TBH, you can never go wrong with the age-old & natural ingredients like Charcoal, Coffee, Walnut & Clay - all of which are gentle but very effective in skin clearing and rejuvenation while making your skin healthy and glowing. And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.Charcoal Face Wash - 100gCharcoal Face Scrub - 100mlC3 Face Mask - 100ml"
Charcoal Face Wash & Scrub Combo,https://mamaearth.in/product/charcoal-face-wash-scrub-combo,5,584,2%,null,"['activated charcoal', 'coffee', 'walnut', 'tea tree']","Charcoal Face Wash & Scrub ComboStress, pollution, dirt, and grime can take a toll on your skin’s health. The new Mamaearth Charcoal Face Wash & Scrub Combo is here to hug your skin and pull out all the negativity, lethargy, and dullness only to replace it with joy, cheer, and sunshine! This naturally formulated combo contains Activated Charcoal, Coffee & Walnut to remove toxins, clarify and purify skin back to health. And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.Charcoal Face Wash - 100gCharcoal Face Scrub - 100ml"
CoCo Face Wash with Coffee & Cocoa for Skin Awakening – Pack of 2,https://mamaearth.in/product/coco-face-wash-with-coffee-cocoa-for-skin-awakening-pack-of-2,5,489,2%,null,"['coffee', 'cocoa']","CoCo Face Wash with Coffee & Cocoa for Skin Awakening – Pack of 2The combination of Cocoa and Coffee not only makes a heartwarming cuppa but also gives a radiant boost when used on the skin.Mamaearth CoCo Face Wash is packed with antioxidant, anti-inflammatory, and anti-aging ingredients. It tightens pores, reverses sun damage, and stimulates blood flow leaving you with even-toned and healthy skin. Coffee increases collagen production to give your skin a youthful appearance. While Cocoa softens and detoxifies the skin to reduce fine lines, wrinkles, and the appearance of scars.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes."
Onion Shampoo + Onion Hair Serum ,https://mamaearth.in/product/onion-shampoo-onion-hair-serum,5,634,2%,null,"['red onion', 'biotin', 'olive oil', 'd-panthenol']","Onion Shampoo + Onion Hair Serum Beat hair fall with the goodness of Onion. Start your day with Mamaearth Onion Hair Shampoo and follow up with Mamaearth Onion Hair Serum to combat hair fall the natural way. Loaded with natural ingredients like Onion, Biotin, Keratin, and Vitamin E – the combination of Shampoo & Serum works effectively to address hair fall issues that stem due to stress, pollution & unhealthy lifestyle choices. Onion – rich in sulfur makes hair stronger & reduces breakage, while Biotin improves the hair quality to increase thickness. Plant Keratin – a gold standard in hair care replenishes and strengthens hair by repairing its natural structure. An age-old remedy, the combo is the perfect choice for anyone looking to revive their hair, reduce hair fall, breakage & improve overall hair quality. And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.An age-old remedy, the combo is the perfect choice for anyone looking to revive their hair, reduce hair fall, breakage & improve overall hair quality. And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.Onion Shampoo - 250ml Onion Hair Serum - 100ml"
Hair Fall Reduction Combo,https://mamaearth.in/product/hair-fall-reduction-combo,5,1199,8%,null,"['onion seed oil', 'redensyl', 'keratin', 'vitamin e', 'coconut']","Hair Fall Reduction ComboHair is like a couture fabric in need of unconditional TLC. But, the constant tug, stretch & sweat can take a toll on its health, leading to thinning and breakage. This Hair Fall Reduction Combo is a powerful trio of nourishment, strengthening & conditioning put together to fight hair loss and encourage healthy hair growth.  It contains hardworking & natural ingredients like Onion Seed Oil, Redensyl, Keratin, Vitamin E & Coconut. Redeem your hair goals with this deeply restorative hair care combo & turn heads!And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.Onion Oil - 250ml Onion Shampoo - 250ml Onion Conditioner - 250ml "
Onion Shampoo & Oil Combo,https://mamaearth.in/product/onion-shampoo-oil-combo,5,924,3%,null,"['onion seed oil', 'redensyl', 'keratin', 'vitamin e']","Onion Shampoo & Oil ComboOne...Two...Three...One Hundred & Fifty! They say it’s natural to lose up to 150 strands of hair a day. However, many natural factors like stress, pollution, sweat, etc. lead to unnatural hair fall, greying, and thinning. This combo comes prepped with the benefits of Onion & Redensyl to unblock hair follicles & boost new hair growth while Plant Keratin replenishes the scalp with proteins, restoring smoothness & shine. So, why wait? Take care of your crowning glory with the help of naturally nourishing, conditioning, and growth restoring ingredients. And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.Onion Oil - 250ml Onion Shampoo - 250 ml "
Onion Shampoo for Hair Growth & Hair Fall Control (250 ml) - Pack Of 2,https://mamaearth.in/product/onion-shampoo-for-hair-growth-hair-fall-control-250-ml-pack-of-2,5,679,3%,250ml,"['onion seed oil', 'd-panthenol', 'plant keratin', 'vitamin e']","Onion Shampoo for Hair Growth & Hair Fall Control (250 ml) - Pack Of 2Good hair speaks louder than words! Mamaearth Onion Shampoo fights against the damaging effects of stress, pollution, and UV with natural hair boosting ingredients like Onion, Keratin & Vitamin E to help you achieve ultimate hair goals! This shampoo introduces your scalp to a cleaner and healthier status quo, making the next phase of hair growth stronger, longer, thicker & voluminous! The goodness of natural ingredients help control hair fall while boosting hair growth.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes."
"No More Tangles Conditioner for fizz free hair, 200ml",https://mamaearth.in/product/buy-hair-conditioner-online,4.9,349,0%,200ml,"['cocoa butter', 'shea butter', 'amla extract', 'fenugreek extract']","No More Tangles Conditioner for fizz free hair, 200mlFrizz & "
Spotless Skin Combo: Ubtan Facewash - 100ml + Bye Bye Blemishes Face Cream - 30ml,https://mamaearth.in/product/spotless-skin-combo,5,679,3%,100ml,"['walnut beads', 'liquorice extract', 'carrot seed oil', 'mulberry extract', 'daisy flower', 'geranium oil']",Spotless Skin Combo: Ubtan Facewash - 100ml + Bye Bye Blemishes Face Cream - 30ml
Anti-Acne Kit,https://mamaearth.in/product/anti-acne-kit,4.9,849,26%,null,"['apple cider vinegar', 'niacinamide', 'neem', 'glycerin']",Anti-Acne Kit
Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth – 50ml,https://mamaearth.in/product/onion-scalp-serum-with-onion-niacinamide-for-healthy-hair-growth-50ml,5,599,0%,50ml,"['red onion', 'niacinamide', 'pea sprouts', 'aloe vera juice']",Onion Scalp Serum with Onion & Niacinamide for Healthy Hair Growth – 50ml
Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin – 400 ml  ,https://mamaearth.in/product/vitamin-c-body-lotion-with-vitamin-c-honey-for-radiant-skin-400-ml,4.9,399,0%,400ml,"['vitamin c', 'honey', 'shea butter', 'olive oil']","Vitamin C Body Lotion with Vitamin C & Honey for Radiant Skin – 400 ml  It’s time to give your skin the comfort and love it deserves with the goodness of Vitamin C, Honey, Shea Butter & Olive Oil. Say hello to radiant skin with Vitamin C and bid adieu to dull and uneven skin tone.Mamaearth Vitamin C Body Lotion deeply nourishes and soothes, and boosts collagen to give you radiant looking skin. Vitamin C also protects the skin against free radical damage and evens out skin tone. The fresh and non-greasy formula captures will give your skin the long-lasting hydration it needs. Suitable for all skin types, Mamaearth Vitamin C Body Lotion has no harmful chemicals and is free of Parabens, toxins, and mineral oils."
Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin – 400 ml,https://mamaearth.in/product/ubtan-body-lotion-with-turmeric-kokum-butter-for-glowing-skin-400-ml,5,399,0%,400ml,"['turmeric', 'kokum butter', 'shea butter', 'olive oil']","Ubtan Body Lotion with Turmeric & Kokum Butter for Glowing Skin – 400 mlWhat is love? Soft, supple, hydrated, and glowing skin. Relax and give your body the nourishing and moisturizing benefits of Turmeric, Kokum Butter, Shea Butter & Olive Oil.Mamaearth Ubtan Body Lotion replenishes your skin while reviving its natural glow. The rich body lotion, accompanied by an earthy aroma, sinks deep into the skin’s layers and keeps it hydrated for a long time. With this body lotion by your side, you can tell dryness to stay away. Suitable for normal skin, Mamaearth Ubtan Body Lotion has no harmful chemicals and is free of Parabens, toxins, and mineral oils."
CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization - 400ml ,https://mamaearth.in/product/coco-body-lotion-with-coffee-and-cocoa-for-intense-moisturization-400ml,4.9,399,0%,400ml,"['coffee', 'cocoa butter', 'shea butter', 'olive oil']","CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization - 400ml Wake up and smell the coffee - literally! If your skin is parched and needs that extra boost of intense moisturization, CoCo Body Lotion is what you need. Enriched with the natural goodness of Coffee and Cocoa, the body lotion is as indulgent as it is nourishing. And it smells absolutely delicious. This is, quite literally, food for your skin.  Coffee adds richness while Cocoa Butter, Shea Butter, and Olive Oil provide nourishment and moisture. At the same time, the lotion is extremely lightweight, absorbs quickly and doesn’t feel greasy. Make dry, dehydrated, and flaky skin a thing of the past. Our CoCo Body Lotion is excellent for dry skin and is free of Parabens, Silicones, Sulfates, Phthalates, and Artificial Colors."
Rose Body Lotion with Rose Water and Milk For Deep Hydration - 400ml,https://mamaearth.in/product/rose-body-lotion-with-rose-water-and-milk-for-deep-hydration-400ml,5,399,0%,400ml,"['rose water', 'milk', 'shea butter', 'olive oil']","Rose Body Lotion with Rose Water and Milk For Deep Hydration - 400mlScore a perfect ten when it comes to hydrated skin with your newest #skincrush - Rose Body Lotion. A delicious smelling, super light but hydrating body lotion, it’s a sensorial treat for your skin. The Rose Body Lotion is crafted with the fresh goodness of Rose Water and Milk. Rose Water, packed with antioxidants, soothes the skin while Milk locks in the moisture that Shea Butter and Olive Oil provide. It will make your skin soft, supple and hydrated. With this body lotion, make dryness a thing of the past and flaunt moisturized skin that gleams.Mamaearth Rose Body Lotion is suitable for oily skin & free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc"
Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination – 150ml,https://mamaearth.in/product/vitamin-c-foaming-face-wash-with-vitamin-c-turmeric-for-skin-illumination-150ml,4.9,399,0%,150ml,"['vitamin c', 'turmeric', 'cucumber', 'aloe vera']","Vitamin C Foaming Face Wash with Vitamin C & Turmeric for Skin Illumination – 150mlGentle clouds of frothy foams infused with the goodness of Vitamin C and Turmeric - that’s Mamaearth Vitamin C Foaming Face Wash for you.Fresh and effective, Mamaearth Vitamin C Foaming Face Wash is loaded with antioxidants as well as brightening and acne preventing properties. Plus, it comes with a super-efficient built-in brush that massages while cleansing. With dollops of cooling benefits thanks to Cucumber and Aloe Vera, this foaming face wash is like a shot of freshness. Use it in the morning to prepare your skin or wash off the toils of the day at night, this is the breath of freshness your skin needs. It comes with a brush applicator that makes application easy, effective and helps Vitamin C and Turmeric to penetrate deep within the skin.Dermatologically tested, this Vitamin C Foaming Face Wash has no harmful chemicals and is free of Toxins, Parabens, and Mineral Oils."
Rose Face Toner with Witch Hazel & Rose Water for Pore Tightening - 200ml,https://mamaearth.in/product/rose-face-toner-with-witch-hazel-rose-water-for-pore-tightening-200ml,4.9,399,0%,200ml,"['rose water', 'cucumber', 'aloe vera', 'witch hazel']",Rose Face Toner with Witch Hazel & Rose Water for Pore Tightening - 200ml
Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization – 50g,https://mamaearth.in/product/ubtan-hand-cream-with-turmeric-and-honey-for-deep-moisturization-50g,5,349,0%,50g,"['turmeric', 'honey', 'shea butter', 'glycerin']",Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization – 50g
Vitamin C Hand Cream with Vitamin C and Shea Butter for Intense Moisturization,https://mamaearth.in/product/vitamin-c-hand-cream-with-vitamin-c-and-shea-butter-for-intense-moisturization,5,349,0%,null,"['vitamin c', 'shea butter', 'glycerin']",Vitamin C Hand Cream with Vitamin C and Shea Butter for Intense Moisturization
CoCo Hand Cream with Coffee & Cocoa for Rich Moisturization – 50g,https://mamaearth.in/product/coco-hand-cream-with-coffee-cocoa-for-rich-moisturization-50g,5,349,0%,50g,"['cocoa', 'coffee', 'shea butter', 'glycerin']",CoCo Hand Cream with Coffee & Cocoa for Rich Moisturization – 50g
Micellar Water Foaming Makeup Remover with Rose Water & Glycolic Acid for Makeup Cleansing – 150 ml,https://mamaearth.in/product/micellar-water-foaming-makeup-remover-with-rose-water-glycolic-acid-for-makeup-cleansing-150-ml,5,399,0%,150ml,"['rose water', 'glycolic acid', 'glycerin']",Micellar Water Foaming Makeup Remover with Rose Water & Glycolic Acid for Makeup Cleansing – 150 ml
Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination – 100 ml,https://mamaearth.in/product/vitamin-c-face-milk-with-vitamin-c-and-peach-for-skin-illumination-100-ml,5,449,0%,100ml,"['vitamin c', 'peach', 'niacinamide', 'portulaca oleracea']",Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination – 100 ml
Argan Shampoo & Conditioner Combo,https://mamaearth.in/product/argan-shampoo-argan-conditioner,5,679,3%,null,"['argan oil', 'apple cider vinegar', 'vitamin e']",Argan Shampoo & Conditioner Combo
Argan Hair Mask & Argan Shampoo,https://mamaearth.in/product/argan-hair-mask-argan-shampoo,5,924,3%,null,"['argan oil', 'apple cider vinegar', 'avocado oil']",Argan Hair Mask & Argan Shampoo
Tan Removal Combo,https://mamaearth.in/product/ubtan-face-scrub-ubtan-face-wash,5,589,2%,null,"['turmeric', 'walnut', 'carrot oil', 'sa?ron']",Tan Removal Combo
BhringAmla Shampoo & Conditioner Combo,https://mamaearth.in/product/bhringamla-shampoo-and-conditioner-combo,5,679,3%,null,"['bhringraj', 'amla', 'shikakai', 'sweet almond oil']",BhringAmla Shampoo & Conditioner Combo
Ubtan Body Scrub with Turmeric & Saffron for Tan Removal – 200 g,https://mamaearth.in/product/ubtan-body-scrub-with-turmeric-saffron-for-tan-removal-200-g,5,499,0%,200g,"['turmeric', 'sa?ron', 'walnut']",Ubtan Body Scrub with Turmeric & Saffron for Tan Removal – 200 g
Neem Body Scrub with Neem & Tulsi for Skin Purification – 200 g,https://mamaearth.in/product/neem-body-scrub-with-neem-tulsi-for-skin-purification-200-g,5,499,0%,200g,"['neem', 'tulsi', 'walnut']",Neem Body Scrub with Neem & Tulsi for Skin Purification – 200 g
Hand Sanitizer with Lime & Neem for Killing Germs – 250 ml,https://mamaearth.in/product/hand-sanitizer-with-lime-neem-for-killing-germs-250-ml,5,299,0%,250ml,"['neem', 'glycerin', 'lime']",Hand Sanitizer with Lime & Neem for Killing Germs – 250 ml
Vitamin C Night  Regimen Combo,https://mamaearth.in/product/vitamin-c-night-regimen-combo,5,1749,5%,null,"['vitamin c', 'turmeric', 'aloe vera', 'squalane']",Vitamin C Night  Regimen Combo
Vitamin C Day Regimen Combo,https://mamaearth.in/product/vitamin-c-day-regimen-combo,5,1549,11%,null,"['vitamin c', 'turmeric', 'aloe vera', 'cucumber']",Vitamin C Day Regimen Combo
BhringAmla Conditioner with Bhringraj & Amla for Intense Hair Treatment – 250ml,https://mamaearth.in/product/bhringamla-conditioner-with-bhringraj-amla-for-intense-hair-treatment-250ml,4.9,349,0%,250ml,"['bhringraj', 'amla', 'sweet almond oil']",BhringAmla Conditioner with Bhringraj & Amla for Intense Hair Treatment – 250ml
BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment – 250 ml,https://mamaearth.in/product/bhringamla-shampoo-with-bhringraj-amla-for-intense-hair-treatment-250-ml,5,349,0%,250ml,"['bhringraj', 'amla', 'shikakai', 'brahmi']",BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment – 250 ml
BhringAmla Hair Oil with Bhringraj & Amla for Intense Hair Treatment – 250ml,https://mamaearth.in/product/bhringamla-hair-oil-with-bhringraj-amla-for-intense-hair-treatment-250ml,4.9,499,0%,250ml,"['bhringraj', 'amla', 'brahmi', 'baheda']",BhringAmla Hair Oil with Bhringraj & Amla for Intense Hair Treatment – 250ml
Tan Removal Regimen,https://mamaearth.in/product/tan-removal-regimen,4.9,799,27%,null,"['turmeric', 'walnut beads', 'sa?ron', 'carrot oil']","Tan Removal RegimenDon’t let the harsh sun make your skin look dull and dry. Fall in love with your skin all over again with the traditional goodness of Ubtan. Make Mamaearth Tan Removal Regimen a part of your everyday skin routine and make your skin glow throughout summer and beyond. Ubtan Face Wash and Scrub ensure that dirt, impurity, and tan is nowhere on your skin. Meanwhile, the face mask ensures that your skin glows and remains nourished.Infused with the goodness of nature, all the products in this kit are dermatologically tested. These products do not contain any harmful chemicals like Parabens, SLES, sulfates, silicones, phthalates, and artificial fragrances.Ubtan Face Wash - 100mlUbtan Face Scrub - 100gUbtan Face Mask - 100ml"
HydraGel Indian Sunscreen with Aloe Vera & Raspberry for Sun Protection - 50 g,https://mamaearth.in/product/hydragel-indian-sunscreen-with-aloe-vera-raspberry-for-sun-protection-50-g,5,399,0%,50g,"['aloe vera', 'raspberry', 'glycerin']",HydraGel Indian Sunscreen with Aloe Vera & Raspberry for Sun Protection - 50 g
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination – 100ml,https://mamaearth.in/product/vitamin-c-face-wash-with-vitamin-c-and-turmeric-for-skin-illumination-100ml,5,249,0%,100ml,"['vitamin c', 'turmeric', 'aloe vera']",Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination – 100ml
Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination – 50g,https://mamaearth.in/product/vitamin-c-face-cream-with-vitamin-c-spf-20-for-skin-illumination-50g,5,599,0%,50g,"['vitamin c', 'niacinamide', 'common purslane']",Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination – 50g
Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination - 100 g,https://mamaearth.in/product/vitamin-c-face-mask-with-vitamin-c-kaolin-clay-for-skin-illumination-100-g,5,499,0%,100g,"['vitamin c', 'kaolin clay', 'glycerin', 'turmeric']","Vitamin C Face Mask With Vitamin C & Kaolin Clay for Skin Illumination - 100 gWe all dream of bright and spotless skin. But the hustle of daily life often takes a toll on our skin’s health. Dirt, pollution, UV rays, and extreme weather conditions damage the skin while stealing its natural glow.Mamaearth Vitamin C Face Mask will help bring back that radiance! Power-packed with the goodness of Vitamin C and Kaolin Clay, it will make your skin bright, healthy, and spotless.The product is dermatologically tested and is suitable for all skin types. It contains no Parabens, harmful chemicals, toxins, or mineral oils and is 100% safe to add to your skincare regimen."
CoCo Face Wash with Coffee & Cocoa for Skin Awakening – 100ml,https://mamaearth.in/product/coco-face-wash-with-coffee-and-cocoa-for-skin-awakening-100ml,5,249,0%,100ml,"['coffee', 'cocoa']",CoCo Face Wash with Coffee & Cocoa for Skin Awakening – 100ml
CoCo Face Scrub with Coffee & Cocoa for Rich Exfoliation - 100g,https://mamaearth.in/product/coco-face-scrub-with-coffee-cocoa-for-rich-exfoliation-100g,4.9,349,0%,100g,"['coffee', 'cocoa', 'shea butter']",CoCo Face Scrub with Coffee & Cocoa for Rich Exfoliation - 100g
CoCo Face Mask with Coffee & Cocoa for Skin Awakening – 100g,https://mamaearth.in/product/coco-face-mask-with-coffee-cocoa-for-skin-awakening-100g,4.9,499,0%,100g,"['coffee', 'cocoa', 'glycerin']",CoCo Face Mask with Coffee & Cocoa for Skin Awakening – 100g
Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 100 g,https://mamaearth.in/product/vitamin-c-sleeping-mask-with-aloe-vera-for-skin-illumination-100-g,5,599,0%,100g,"['vitamin c', 'aloe vera']",Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 100 g
Ubtan Yogurt with Turmeric and Saffron for Deep Moisturization – 200 ml,https://mamaearth.in/product/ubtan-yogurt-with-turmeric-and-saffron-for-deep-moisturization-200ml,5,499,0%,200ml,"['turmeric', 'saffron', 'glycerin']",Ubtan Yogurt with Turmeric and Saffron for Deep Moisturization – 200 ml
"Niacin Toner For Face, with Niacinamide & With Hazel for Acne and Open Pores - 200 ml",https://mamaearth.in/product/niacin-toner-for-face-with-niacinamide-with-hazel-for-acne-and-open-pores-200-ml,5,399,0%,200ml,"['niacinamide', 'witch hazel', 'aloe vera', 'citric acid']","Niacin Toner For Face, with Niacinamide & With Hazel for Acne and Open Pores - 200 mlIt’s time to bid farewell to open pores, acne marks, & damaged skin. Mamaearth Niacin Face Toner is formulated with the power of Niacinamide and the goodness of Witch Hazel to give you clear and healthy skin. Stop free radical damage and tighten enlarged pores with this clarifying and hydrating toner.Mamaearth Niacin Face Toner tightens the pores without over-drying your skin. Its antioxidant properties will reduce blemishes and other dark spots to give you a more even-toned complexion.This toner is dermatologically tested to improve the overall skin texture by reducing acne marks and enlarged pores. It can be used by all skin types and is free of harsh chemicals, SLS, Parabens, and Mineral Oils."
Argan Conditioner with Argan & Apple Cider Vinegar for Frizz-Free and Stronger Hair - 250ml,https://mamaearth.in/product/argan-conditioner-with-argan-apple-cider-vinegar-for-frizz-free-and-stronger-hair,5,349,0%,250ml,"['argan oil', 'apple cider vinegar', 'almond oil']",Argan Conditioner with Argan & Apple Cider Vinegar for Frizz-Free and Stronger Hair - 250ml
Argan Shampoo with Argan & Apple Cider Vinegar for Frizz-free & Stronger Hair - 250 ml,https://mamaearth.in/product/argan-shampoo-with-argan-apple-cider-vinegar-for-frizz-free-stronger-hair,4.8,349,0%,250ml,"['argan oil', 'apple cider vinegar', 'vitamin e']",Argan Shampoo with Argan & Apple Cider Vinegar for Frizz-free & Stronger Hair - 250 ml
Onion Shampoo 400ml + Onion Conditioner 250ml,https://mamaearth.in/product/onion-shampoo-400ml-onion-conditioner-250ml,5,884,3%,400ml,"['onion seed oil', 'd-panthenol', 'keratin', 'vitamin e']",Onion Shampoo 400ml + Onion Conditioner 250ml
Onion Hair Oil + Onion Hair Mask,https://mamaearth.in/product/onion-hair-oil-onion-hair-mask,5,998,0%,null,"['onion oil', 'organic bamboo vinegar', 'coconut oil', 'rosemary oil']",Onion Hair Oil + Onion Hair Mask
Onion Hair Serum + Onion Hair Oil,https://mamaearth.in/product/onion-hair-serum-onion-hair-oil,5,679,3%,null,"['onion seed extract', 'biotin', 'olive oil', 'd-panthenol']",Onion Hair Serum + Onion Hair Oil
Onion Hair Serum + Onion Hair Mask,https://mamaearth.in/product/onion-hair-serum-onion-hair-mask,5,874,3%,null,"['onion seed extract', 'biotin', 'olive oil', 'd-panthenol']",Onion Hair Serum + Onion Hair Mask
Ubtan Face Wash + Skin Illuminate Face Serum,https://mamaearth.in/product/ubtan-face-wash-skin-illuminate-face-serum,5,824,3%,null,"['turmeric', 'walnut beads', 'licorice extract', 'carrot oil']",Ubtan Face Wash + Skin Illuminate Face Serum
Skin Illuminate Face Serum + Bye Bye Blemishes 30g,https://mamaearth.in/product/skin-illuminate-face-serum-bye-bye-blemishes-30g,5,999,5%,30g,"['vitamin c', 'nymphaea alba flower extract', 'turmeric', 'squalane']",Skin Illuminate Face Serum + Bye Bye Blemishes 30g
Skin Illuminate Face Serum + Bye Bye Dark Circles,https://mamaearth.in/product/skin-illuminate-face-serum-bye-bye-dark-circles,5,969,3%,null,"['vitamin c', 'nymphaea alba flower extract', 'turmeric', 'squalane']",Skin Illuminate Face Serum + Bye Bye Dark Circles
Bye Bye Blemishes 30g + Bye Bye Dark Circles,https://mamaearth.in/product/bye-bye-blemishes-30g-bye-bye-dark-circles,5,824,3%,30g,"['vitamin c', 'daisy flower extract', 'licorice extract', 'mulberry extract']",Bye Bye Blemishes 30g + Bye Bye Dark Circles
"Stretch Marks Cream, 100ml",https://mamaearth.in/product/stretch-marks-removal-cream,4.6,500,0%,100ml,"['milk protein', 'shea butter', 'peptides']","Stretch Marks Cream, 100ml"
Tea Tree Face Wash + Bye Bye Blemishes 30ml,https://mamaearth.in/product/tea-tree-face-wash-bye-bye-blemishes-30ml,5,679,2%,30ml,"['neem', 'aloe vera', 'tea tree oil']",Tea Tree Face Wash + Bye Bye Blemishes 30ml
"Onion Hair Oil for Hair Regrowth & Hair Fall Control, 250ml",https://mamaearth.in/product/onion-hair-oil-for-hair-regrowth-hair-fall-control-with-redensyl-250ml,5,599,0%,250ml,"['onion seed oil', 'redensyl', 'almond oil', 'bhringraj oil']","Onion Hair Oil for Hair Regrowth & Hair Fall Control, 250ml"
"Charcoal Face Scrub For Oily Skin & Normal skin, with Charcoal & Walnut for Deep Exfoliation – 100g",https://mamaearth.in/product/charcoal-face-scrub-for-oily-skin-normal-skin-with-charcoal-walnut-for-deep-exfoliation-100g,4.8,349,0%,100g,"['activated charcoal', 'walnut', 'tea tree']","Charcoal Face Scrub For Oily Skin & Normal skin, with Charcoal & Walnut for Deep Exfoliation – 100g"
Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,https://mamaearth.in/product/ubtan-scrub-for-face-with-turmeric-walnut-for-tan-removal-100g,4.9,349,0%,100g,"['turmeric', 'walnut', 'coconut oil', 'sa?ron']",Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g
